Atari title	Designer or programmer	Year	Genre
3-D Tic-Tac-Toe	Carol Shaw	1978	Strategy
32 in 1		1988	Educational, Sports
A Game of Concentration	Jim Huether	1978	Traditional
Adventure	Warren Robinett	1980	Adventure, Action-RPG
Air-Sea Battle	Larry Kaplan	1977	Action
Alpha Beam with Ernie	Michael Callahan (programmer), Preston Stuart (graphics)	1983	Educational
Asterix	Steve Woita	1983	Action
Asteroids	Brad Stewart	1981	Action
Atari Video Cube		1983	Strategy
Backgammon	Craig Nelson	1979	Strategy
Basic MathÿAKAÿFun With Numbers	Gary Palmer	1977	Educational
BASIC Programming	Warren Robinett	1979	Educational
Basketball	Alan Miller	1978	Sports
Battlezone	Mike Feinstein and Brad Rice	1983	Action, Simulation
Berzerk	Dan Hitchens	1982	Action
Big Bird's Egg Catch	Christopher Omarzu	1983	Educational, Strategy
Blackjack	Bob Whitehead	1977	Simulation
Bowling	Larry Kaplan	1979	Sports
Brain Games	Larry Kaplan	1978	Educational, Strategy
Breakout	Brad Stewart	1978	Action
Canyon Bomber	David Crane	1979	Action
Casino	Bob Whitehead	1978	Strategy
Centipede		1983	Action
Circus Atari	Michael Lorenzen	1980	Action
Codebreaker	Unknown	1978	Strategy
Combat	Larry Wagner,ÿJoe Decuir	1977	Action
Cookie Monster Munch	Gary Stark	1983	Educational
Crazy Climber	Alex Leavens	1983	Action
Crossbow		1987	Action
Crystal Castles	Peter C. Niday (programmer), Robert Vieira (sound), Michael Kosaka (graphics)	1984	Action
Dark Chambers	John Palevich	1988	Action
Defender	Bob Polaro	1982	Action
Defender II	Bill Aspromonte (programmer), Andrew Fuchs (sound)	1988	Action
Demons to Diamonds	Nick Turner	1982	Action
Desert Falcon	Bob Polaro	1987	Action
Dig Dug		1983	Action
Dodge 'Em	Carla Meninsky	1980	Action, Racing
Donald Duck's Speedboat	Suki Lee	1983	Action
Double Dunk	Matthew Hubbard	1989	Sports
E.T. the Extra-Terrestrial	Howard Scott Warshaw	1982	Adventure
Fatal Run	Steve Aguirre	1990	Action, Racing / Driving
Flag Capture	Jim Huether	1978	Strategy
Football	Bob Whitehead	1978	Sports
Galaxian	Mark Ackerman, Glen Parker and Tom Calderwood	1983	Action
Golf	Michael Lorenzen	1980	Sports
Gravitar		1983	Action
Gremlins	Scott Smith (programmer), Mimi Nyden (graphics), Robert Vieira (sound)	1984	Action
Hangman	Alan Miller	1978	Strategy
Haunted House	James Andreasen	1982	Action, Adventure
Home Run	Bob Whitehead	1978	Sports
Human Cannonball	Unknown	1978	Strategy
Hunt & Scoreÿ(seeÿConcentration)	Jim Huether	1978	Strategy
Ikari Warriors		1989	Action
Indy 500	Ed Riddle	1977	Racing
Joust	Mike Feinstein and Kevin Osborn	1983	Action
Jr. Pac-Man	Ava-Robin Cohen	1986	Action
Jungle Hunt	Mike Feinstein and John Allred	1983	Side-scrolling action
Kangaroo	Kevin Osborn	1983	Action
Klax	Steve DeFrisco	1990	Action, Strategy
Krull	Dave Staugas	1983	Action
Mario Bros.	Dan Hitchens	1983	Action
Math Gran Prix	Suki Lee	1982	Educational, Racing
Maze Craze: A Game of Cops and Robbers	Rick Maurer	1980	Action
Midnight Magic	Glenn Axworthy	1986	Action
